V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,random,group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,random,group,"Welcome, and thank you for participating!   For this study, you will be shown 10 pictures of anim...",What is your gender?,What is your age?,Do you hold a Bachelors or higher college degree?,77259789 54a97508 2c60 4295 8283 70a11748c541,Previous Responses Deer (61%) Alpaca (30%) Zebra (5%) Other (4%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",M,Previous Responses Mouse (55%) Rabbit (29%) Rat (13%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Bilby,Previous Responses Possum (58%) Rat (37%) Rabbit (3%) Other (2%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Wombatbat,Previous Responses Wolverine (61%) Porcupine (26%) Badger (10%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 1383 1427218286 26,Previous Responses Otter (56%) Manatee (28%) Fish (12%) Other (4%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 20524 1427229682 12,Previous Responses Lizard (62%) Tadpole (24%) Fish (12%) Other (2%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Haggis+are+animals+but+are+very+rare+in+scotland+and+ 441b7ca65f411893fc6f8790270b6aea,Previous Responses Badger (58%) Beaver (20%) Aardvark (19%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Hqdefault,Previous Responses Sloth (57%) Elephant (16%) Baboon (14%) Other (13%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",F5b2016710e6d75886d8fe92bf6c3b23,Previous Responses Eel (59%) Whale (22%) Fish (17%) Other (2%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",3344064508 6dfe6e195c b,Previous Responses Fish (57%) Coral (22%) Crab (18%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Were the statistics that you were shown during this study helpful in identifying the various anim...,Thank you for participating!   The experiment you just participated in is not actually about iden...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1IiqJKBAOStWhKr,Default Response Set,Anonymous,,,107.184.82.169,0,2015-08-02 21:09:26,2015-08-02 21:11:34,1,262f03ae69841ea52c11dd1f286987c9,moderate,1,Female,29,No,1,1,alpaca,1,1,mouse,1,1,i don't know,1,1,i dont know,1,1,I dont know,1,1,i don't know,1,1,I don't know,1,1,i dont know,1,1,manatee,1,1,i don't know,"No, they were not helpful",1,34.08869934082,-118.32780456543,-1,
R_3s5DmJk8kp77Hqi,Default Response Set,Anonymous,,,76.168.72.51,0,2015-08-02 21:07:29,2015-08-02 21:14:22,1,727673a3a8d61e9ba0885ac36908d2a1,moderate,1,Female,39,No,1,1,I don't know,1,1,Mouse,1,1,possum,1,1,Porcupine ,1,1,sea otter,1,1,lizard,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,I don't know,"Yes, they were helpful",1,33.973495483398,-118.24520111084,-1,
R_2AF2mJ2TtRaI4HT,Default Response Set,Anonymous,,,75.89.74.102,0,2015-08-02 21:11:31,2015-08-02 21:16:59,1,8bf6efe65d2f78b22b575337a4ef5ec0,moderate,1,Female,55,Yes,1,1,deer,1,1,kangaroo rat,1,1,shrew,1,1,Tazmanian devil,1,1,I don't know.,1,1,tadpole,1,1,I don't know.,1,1,hairless bear,1,1,I don't know.,1,1,I don't know.,"No, they were not helpful",1,29.619705200195,-95.63500213623,-1,
R_27UuEYGs2mhri3f,Default Response Set,Anonymous,,,163.47.14.230,0,2015-08-02 21:07:57,2015-08-02 21:17:03,1,b6cac184725916dae219fa8f1a357ca7,moderate,1,Male,27,Yes,1,1,Deer,1,1,Mouse,1,1,Rat,1,1,I don't know,1,1,I don't know,1,1,Lizard,1,1,I don't know,1,1,I don't know,1,1,Fish,1,1,Fish,"Yes, they were helpful",1,13.083297729492,80.283294677734,-1,
R_25SkMVphq0XrxjI,Default Response Set,Anonymous,,,75.161.148.119,0,2015-08-02 21:12:55,2015-08-02 21:32:58,1,9ae6104b04ccc46020e59646a82b24c6,moderate,1,Male,27,Yes,1,1,Deer,1,1,Kangaroo mouse,1,1,Possum,1,1,Wolverine,1,1,axolotl,1,1,Newt,1,1,Badger,1,1,Bear,1,1,shark,1,1,Sea newt,"Yes, they were helpful",1,44.972900390625,-93.287300109863,-1,
R_3e3IJSf3NBrgVkC,Default Response Set,Anonymous,,,166.176.59.2,0,2015-08-02 21:41:46,2015-08-02 21:48:25,1,985d6da391d2021d3d8610ab4bb41a85,moderate,1,Female,33,No,1,1,I don't know ,1,1,Kangaroo Mouse ,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,Tadpole ,1,1,Aardvark ,1,1,I don't know ,1,1,Eel ,1,1,Crab ,"Yes, they were helpful",1,33.773895263672,-117.94149780273,-1,
R_3NHY9ufg8wOdA9M,Default Response Set,Anonymous,,,76.88.39.68,0,2015-08-02 21:43:57,2015-08-02 21:51:20,1,df3dc2b2addba19aaedcbcb6d844567e,moderate,1,Female,54,Yes,1,1,deer,1,1,jerboa,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,eel,1,1,fish,"No, they were not helpful",1,32.957000732422,-117.19789886475,-1,
R_7V7YvA3v6GqYYEx,Default Response Set,Anonymous,,,166.176.57.129,0,2015-08-02 21:48:09,2015-08-02 21:52:05,1,cf0a4c0d536dcd65d39b44eb12061a88,moderate,1,Male,35,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,34.052200317383,-118.24369812012,-1,
R_3HjF3GTbccyCnqe,Default Response Set,Anonymous,,,172.90.200.91,0,2015-08-02 21:56:01,2015-08-02 22:00:16,1,e9a0df6e4ce9ca3951826f0b1d41846d,moderate,1,Female,40,Yes,1,1,alpaca,1,1,kangaroo mouse,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,sloth,1,1,I don't know,1,1,I don't know,1,1,I don't know,"Yes, they were helpful",1,33.912902832031,-118.34390258789,-1,
