V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,random,group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,random,group,"Welcome, and thank you for participating!   For this study, you will be shown 10 pictures of anim...",What is your gender?,What is your age?,Do you hold a Bachelors or higher college degree?,77259789 54a97508 2c60 4295 8283 70a11748c541,Previous Responses Deer (71%) Alpaca (20%) Zebra (5%) Other (4%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",M,Previous Responses Mouse (80%) Rabbit (9%) Rat (8%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Bilby,Previous Responses Possum (74%) Rat (21%) Rabbit (3%) Other (2%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Wombatbat,Previous Responses Wolverine (75%) Porcupine (12%) Badger (10%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 1383 1427218286 26,Previous Responses Otter (74%) Manatee (18%) Fish (6%) Other (4%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 20524 1427229682 12,Previous Responses Lizard (72%) Tadpole (15%) Fish (12%) Other (1%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Haggis+are+animals+but+are+very+rare+in+scotland+and+ 441b7ca65f411893fc6f8790270b6aea,Previous Responses Badger (78%) Beaver (10%) Aardvark (9%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Hqdefault,Previous Responses Sloth (73%) Elephant (21%) Baboon (3%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",F5b2016710e6d75886d8fe92bf6c3b23,Previous Responses Eel (79%) Whale (12%) Fish (7%) Other (2%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",3344064508 6dfe6e195c b,Previous Responses Fish (73%) Coral (15%) Crab (8%) Other (4%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Were the statistics that you were shown during this study helpful in identifying the various anim...,Thank you for participating!   The experiment you just participated in is not actually about iden...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_d0a7q3i5PdGTsyx,Default Response Set,Anonymous,,,65.190.211.50,0,2015-08-02 21:11:05,2015-08-02 21:15:01,1,bfe1e39d03d5400e25753dd09769d708,strong,1,Female,45,Yes,1,1,I don't know,1,1,mouse,1,1,rat,1,1,I don't know,1,1,I don't know,1,1,Lizpole,1,1,wombat,1,1,sloth,1,1,eel,1,1,shrimp,"No, they were not helpful",1,34.434692382812,-77.931503295898,-1,
R_2wdcPr73pQO4qed,Default Response Set,Anonymous,,,107.137.248.67,0,2015-08-02 21:16:12,2015-08-02 21:18:22,1,35f44a8c12d9a3157c6c59c2aadb2e13,strong,1,Female,26,Yes,1,1,I don't know,1,1,rat,1,1,mouse,1,1,wombat,1,1,I don't know,1,1,salamander,1,1,I don't know,1,1,I don't know,1,1,eel,1,1,I don't know,"No, they were not helpful",1,34.061599731445,-118.08180236816,-1,
R_AdnS7iygGEg4OJP,Default Response Set,Anonymous,,,115.252.222.169,0,2015-08-02 21:13:38,2015-08-02 21:18:37,1,2364d862241ca331b38db351a80d6747,strong,1,Female,24,Yes,1,1,Deer,1,1,Mouse,1,1,Possum,1,1,I don't know,1,1,Manatee,1,1,Tadpole,1,1,Badger,1,1,I don't know.,1,1,Eel,1,1,Fish,"Yes, they were helpful",1,26.850006103516,80.916687011719,-1,
R_2qxwtTLJFmvbl78,Default Response Set,Anonymous,,,76.125.33.80,0,2015-08-02 21:49:31,2015-08-02 21:53:21,1,dd0288942588af302502f3df2fa8d6d2,strong,1,Female,59,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,37.975296020508,-121.32440185547,-1,
R_8knkebbt2DOeiSl,Default Response Set,Anonymous,,,50.156.0.134,0,2015-08-02 21:51:10,2015-08-02 21:54:10,1,d109dc6647f0ebaa7834bbba87a88552,strong,1,Male,23,Yes,1,1,Alpaca,1,1,I don't know,1,1,Wallaby,1,1,Porcupine,1,1,I don't know,1,1,Tadpole,1,1,I dont know,1,1,I don't know,1,1,Other,1,1,Coral,"No, they were not helpful",1,37.867004394531,-122.24000549316,-1,
R_2rUyKlTGU936sAO,Default Response Set,Anonymous,,,24.6.18.2,0,2015-08-02 21:59:01,2015-08-02 22:01:25,1,da1c7e98ee880f074f0aab2a2aae43b0,strong,1,Female,37,Yes,1,1,I don't know,1,1,Kangaroo Mouse,1,1,I don't know,1,1,i don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,i don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,37.830902099609,-122.21960449219,-1,
R_24OEZypXyP8LVr3,Default Response Set,Anonymous,,,76.218.49.154,0,2015-08-02 22:00:17,2015-08-02 22:03:14,1,b7cd2cc16c15acd68436c2b51b4a11c3,strong,1,Male,24,Yes,1,1,Alpaca,1,1,Mouse,1,1,Possum,1,1,Wolverine,1,1,I don't know,1,1,Lizard,1,1,Badger,1,1,Sloth,1,1,Eel,1,1,Fish,"No, they were not helpful",1,37.773498535156,-122.27880096436,-1,
R_uy5m90NQ8J9WP1n,Default Response Set,Anonymous,,,24.6.178.238,0,2015-08-02 22:11:34,2015-08-02 22:15:08,1,cd6b16a56752e6b6e566562b790a73fc,strong,1,Male,39,Yes,1,1,Antelope,1,1,jackalope,1,1,Possum,1,1,I don't know,1,1,Mudguppy,1,1,mudguppy,1,1,muskrat,1,1,I don't know,1,1,fish,1,1,Fish,"No, they were not helpful",1,37.567001342773,-121.98289489746,-1,
R_3IbOtDan5djIUhj,Default Response Set,Anonymous,,,104.10.170.166,0,2015-08-02 22:30:10,2015-08-02 22:33:17,1,bf8228c6cc34b8ba1e4b296e5c6be8ba,strong,1,Female,33,Yes,1,1,llama,1,1,rat,1,1,possum,1,1,I don't know,1,1,I don't know,1,1,tadpole,1,1,badger,1,1,sloth,1,1,eel,1,1,I don't know,"Yes, they were helpful",1,33.892395019531,-117.78790283203,-1,
R_21tZwKSsk4SQMYu,Default Response Set,Anonymous,,,174.58.15.129,0,2015-08-02 22:35:53,2015-08-02 22:42:34,1,906a8cf262ba182f1f494b68f335ae45,strong,1,Female,61,No,1,1,I don't know,1,1,mouse,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,salamander,1,1,I don't know,1,1,I don't know,1,1,eel,1,1,fish,"Yes, they were helpful",1,27.325500488281,-82.47339630127,-1,
R_2CrI3uFM6lzfuQv,Default Response Set,Anonymous,,,68.225.195.181,0,2015-08-02 22:38:14,2015-08-02 22:43:09,1,3b90492dc76f52c02535160a8988324a,strong,1,Male,24,No,1,1,i don't know,1,1,jerboa,1,1,i don't know,1,1,i don't know,1,1,I don't know,1,1,tadpole,1,1,rat,1,1,bear,1,1,eel,1,1,blue sea slug,"No, they were not helpful",1,33.400100708008,-111.92900085449,-1,
R_3DbUeBRr6erlZtW,Default Response Set,Anonymous,,,98.112.228.240,0,2015-08-02 22:42:08,2015-08-02 22:45:01,1,884a5680723b67f9af8d61ca6c39c1a6,strong,1,Female,38,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Tadpole,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Fish,"No, they were not helpful",1,33.888000488281,-118.13040161133,-1,
R_2P5LpzrpIcJnI5j,Default Response Set,Anonymous,,,71.198.89.218,0,2015-08-02 22:50:41,2015-08-02 22:55:48,1,0d9aa328676eb990cc4c7e58bd37f234,strong,1,Male,25,Yes,1,1,Deer,1,1,Field Mouse,1,1,Possum,1,1,Wolverine,1,1,Salamander,1,1,Salamander,1,1,Other,1,1,Chupacabra,1,1,Prehistoric Shark - Found of the Coast of Japan (saw it on TV once),1,1,Sea Urchin,"No, they were not helpful",1,37.044799804688,-122.10209655762,-1,
R_3D6FAphwWzufJJF,Default Response Set,Anonymous,,,76.102.63.54,0,2015-08-02 22:41:50,2015-08-02 23:00:53,1,3b050a0a2e9038950bab407d770de385,strong,1,Male,32,No,1,1,Antelopes,1,1,Jerboa,1,1,Bilby,1,1,Wombat,1,1,Salamander,1,1,Albino salamander,1,1,Wild haggis,1,1,Bear,1,1,Frilled shark,1,1,nudibranch blue dragon,"No, they were not helpful",1,36.67529296875,-121.61019897461,-1,
R_25EhYMXbZGW5E7h,Default Response Set,Anonymous,,,98.207.215.92,0,2015-08-02 23:06:11,2015-08-02 23:08:44,1,bf523d9a96c48a1028de1ac36c27f070,strong,1,Male,31,Yes,1,1,Alpaca,1,1,Mouse,1,1,Possum,1,1,Porcupine,1,1,Manatee,1,1,Lizard,1,1,Badger,1,1,Sloth,1,1,Eel,1,1,Fish,"Yes, they were helpful",1,37.718597412109,-121.91639709473,-1,
R_zdPYbBsl7RMXU2t,Default Response Set,Anonymous,,,96.40.171.36,0,2015-08-02 23:14:54,2015-08-02 23:18:10,1,116fc5840a1f08f68ceb6dc2da7e242a,strong,1,Male,33,No,1,1,Deer,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Tadpole,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,I don't know,"No, they were not helpful",1,33.754196166992,-118.20190429688,-1,
R_BtYazs7BzAkcB4l,Default Response Set,Anonymous,,,107.9.150.210,0,2015-08-02 23:16:00,2015-08-02 23:20:45,1,a2fc36b472503becb649620fc8b92edb,strong,1,Female,47,No,1,1,Knu,1,1,rabbit,1,1,I don't know,1,1,wolverine,1,1,fish,1,1,tadpole,1,1,badger,1,1,I don't know,1,1,moray eel,1,1,I don't know,"Yes, they were helpful",1,41.231399536133,-80.756698608398,-1,
R_2EaagsUVug9xBit,Default Response Set,Anonymous,,,74.195.63.119,0,2015-08-02 23:19:43,2015-08-02 23:22:43,1,2b34c0bdfc5aef6af5f4e9e1ca747bc4,strong,1,Female,51,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,I don't know,"No, they were not helpful",1,36.624893188477,-121.82569885254,-1,
R_1gjA3oXjyGSR3hJ,Default Response Set,Anonymous,,,98.210.196.98,0,2015-08-02 23:20:05,2015-08-02 23:23:55,1,1b79414c80f32201d61cd196c0403b6b,strong,1,Female,26,No,1,1,I don't know,1,1,mouse,1,1,possum,1,1,wolverine,1,1,otter,1,1,tadpole,1,1,badger,1,1,sloth,1,1,eel,1,1,fish,"Yes, they were helpful",1,37.748397827148,-122.4156036377,-1,
R_11ZvCUwRfsCrENq,Default Response Set,Anonymous,,,118.93.79.50,0,2015-08-02 23:55:30,2015-08-03 00:00:58,1,bb1f652dbcdf0f963e02fa8cb98689b6,strong,1,Male,21,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Salamander,1,1,I don't know,1,1,Wolverine,1,1,Shark,1,1,Sea slug,"No, they were not helpful",1,-41.282897949219,174.78421020508,-1,
R_2rGfquxtNFo0Kgf,Default Response Set,Anonymous,,,23.112.153.90,0,2015-08-03 00:23:41,2015-08-03 00:27:10,1,276ce1cda0defefb1bb0f777dddab517,strong,1,Female,33,Yes,1,1,Deer,1,1,Other,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Other,1,1,I don't know,1,1,Sloth,1,1,I don't know,1,1,Crab,"No, they were not helpful",1,33.892395019531,-117.78790283203,-1,
R_pPJbu5vBHeuPjhf,Default Response Set,Anonymous,,,108.213.25.96,0,2015-08-03 01:01:50,2015-08-03 01:07:26,1,e0035e2dff251b1723c1c6661c2c54fa,strong,1,Female,32,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Frill shark,1,1,I don't know,"No, they were not helpful",1,33.951705932617,-118.29560089111,-1,
R_5vEpeHKtxRnaV0t,Default Response Set,Anonymous,,,63.243.37.162,0,2015-08-03 01:06:35,2015-08-03 01:09:07,1,46d8b1436b8839f23cb67e34ddd6a718,strong,1,Male,57,Yes,1,1,Deer.,1,1,I don't know.,1,1,Possum,1,1,Badger.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,Eel.,1,1,I don't know.,"Yes, they were helpful",1,28.618499755859,-81.433601379395,-1,
R_3OlBIbZaiFlOUdc,Default Response Set,Anonymous,,,50.53.70.68,0,2015-08-03 01:20:22,2015-08-03 01:23:36,1,1819982a44c7033ace9df097fe455566,strong,1,Male,24,Yes,1,1,alpaca,1,1,mouse,1,1,rat,1,1,wombat,1,1,axolotl,1,1,axolotl,1,1,shrew,1,1,I don't know,1,1,eel,1,1,I don't know,"No, they were not helpful",1,45.447006225586,-122.76679992676,-1,
R_1lgC860yRFrL52g,Default Response Set,Anonymous,,,108.222.241.105,0,2015-08-03 03:37:50,2015-08-03 03:40:24,1,93929e771347a89658dcf7d2262dafee,strong,1,Male,28,Yes,1,1,Deer,1,1,Rat,1,1,Rat,1,1,I don't know. ,1,1,Salamander,1,1,Salamander,1,1,Badger,1,1,Bear,1,1,Shark,1,1,Fish,"No, they were not helpful",1,29.751007080078,-95.612998962402,-1,
R_2f7p3qcXfuVAn3I,Default Response Set,Anonymous,,,206.112.75.195,0,2015-08-03 04:43:39,2015-08-03 04:47:51,1,d99973307c6722298b4ef04564eca96d,strong,1,Male,47,Yes,1,1,deer,1,1,Mouse Rat,1,1,Chinchilla,1,1,tasmanian devil,1,1,axlotl,1,1,axlotl,1,1,critter,1,1,Bear,1,1,Eel,1,1,sea worm,"No, they were not helpful",1,38.43359375,-77.388702392578,-1,
R_2pXFYF8XddmAJAA,Default Response Set,Anonymous,,,76.236.14.160,0,2015-08-03 04:44:30,2015-08-03 04:49:41,1,383245beb135240a0c8fa729c038532e,strong,1,Male,35,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,bear,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,43.118804931641,-85.494300842285,-1,
R_2CUFujvyOfTnFuA,Default Response Set,Anonymous,,,184.16.117.127,0,2015-08-03 05:01:26,2015-08-03 05:04:04,1,ba20923cd5e682632f1192656d996b51,strong,1,Male,50,No,1,1,Deer,1,1,Mouse,1,1,Possum,1,1,Wolverine,1,1,Otter,1,1,I don't know,1,1,Badger ,1,1,Sloth,1,1,Eel,1,1,Fish,"Yes, they were helpful",1,39.838104248047,-84.905403137207,-1,
