ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,random,group,"Welcome, and thank you for participating!   For this study, you will be shown 10 pictures of anim...",What is your gender?,What is your age?,Do you hold a Bachelors or higher college degree?,77259789 54a97508 2c60 4295 8283 70a11748c541, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",M, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Bilby, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Wombatbat, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 1383 1427218286 26, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 20524 1427229682 12, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Haggis+are+animals+but+are+very+rare+in+scotland+and+ 441b7ca65f411893fc6f8790270b6aea, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Hqdefault, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",F5b2016710e6d75886d8fe92bf6c3b23, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",3344064508 6dfe6e195c b, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Were the statistics that you were shown during this study helpful in identifying the various anim...,Thank you for participating!   The experiment you just participated in is not actually about iden...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_WDU5IZSSLPAUiS5,Default Response Set,Anonymous,,,72.201.237.221,0,2015-08-02 21:09:35,2015-08-02 21:12:33,1,a84b1bd306536d8231885c9b90390d5b,control,1,Female,57,No,1,1,I don't know,1,1,pygmi kangaroo,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.397201538086,-111.78579711914,-1,
R_1goJ0Mb3Q7JRbqA,Default Response Set,Anonymous,,,71.235.198.251,0,2015-08-02 21:13:07,2015-08-02 21:14:42,1,6dad0aa4ce3cd9dc8d999bcbfc8f9e73,control,1,Male,25,Yes,1,1,goa,1,1,hairless rat,1,1,aardvark,1,1,wombat,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,42.7958984375,-71.056999206543,-1,
R_Pwyu5c1UvjuKZTH,Default Response Set,Anonymous,,,166.170.51.42,0,2015-08-02 21:44:57,2015-08-02 21:47:47,1,02a60d52d37421db1f17b32e7ae4bcdf,control,1,Female,33,Yes,1,1,I don't know,1,1,I don't know ,1,1,Opossum,1,1,I don't know,1,1,I don't know ,1,1,I don't know,1,1,I don't know ,1,1,I don't know ,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,34.052200317383,-118.24369812012,-1,
R_3RgWWv9Rj3plG5o,Default Response Set,Anonymous,,,142.129.66.59,0,2015-08-02 21:42:53,2015-08-02 21:47:50,1,c8f827a515c0d5d9f2d23f5c5cee5e1f,control,1,Female,24,Yes,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,i don't know,I did not see any statistics,1,33.747406005859,-117.99389648438,-1,
R_29bpUmMaWsmQ3Ts,Default Response Set,Anonymous,,,99.184.251.118,0,2015-08-02 21:42:54,2015-08-02 21:48:37,1,9bd1201128baca20207a782ac0e0a627,control,1,Female,40,Yes,1,1,Antelope,1,1,I don't know,1,1,I don't know,1,1,Wombat,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't lnow,1,1,Eel,1,1,I don't know,I did not see any statistics,1,33.095794677734,-117.27209472656,-1,
R_2X69UlUrvsZmxvr,Default Response Set,Anonymous,,,23.126.182.252,0,2015-08-02 21:45:39,2015-08-02 21:50:18,1,f77bbd2c4896b067dcd3d38f4f49ee23,control,1,Male,39,Yes,1,1,Bush buck,1,1,Pack rat,1,1,I don't know,1,1,Wombat,1,1,Water dog,1,1,Salamander,1,1,Aye aye,1,1,Chupacabra,1,1,Lung fish,1,1,I don't know,I did not see any statistics,1,40.800399780273,-124.15280151367,-1,
R_1OQ2TFoN73IR73P,Default Response Set,Anonymous,,,71.189.184.95,0,2015-08-02 21:50:03,2015-08-02 21:51:33,1,12483eec687262a4692be9d19b215ee8,control,1,Male,31,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,34.039001464844,-117.75479888916,-1,
R_3lPwUjKvnkLAymW,Default Response Set,Anonymous,,,76.102.149.147,0,2015-08-02 21:49:16,2015-08-02 21:52:04,1,f928651cda618f1d9941d1141cd28c9a,control,1,Male,30,Yes,1,1,Goat,1,1,Rat,1,1,Mouse,1,1,I dont know,1,1,I dont know,1,1,Fish,1,1,Rat,1,1,Chimpanzee,1,1,Shark,1,1,Star Fish,I did not see any statistics,1,37.424896240234,-122.0074005127,-1,
R_33d1Je9hrZFQWEr,Default Response Set,Anonymous,,,173.241.25.25,0,2015-08-02 21:50:27,2015-08-02 21:52:49,1,dfa17ce4174a95b15a2f1fe7b9b4edca,control,1,Male,53,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,salamander,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,37.834197998047,-122.28970336914,-1,
R_3n3GOj6NMtkwFHj,Default Response Set,Anonymous,,,68.3.158.233,0,2015-08-02 21:47:55,2015-08-02 21:54:02,1,0d1af48b11fbc4b111ebdbde7d1a1353,control,1,Male,34,Yes,1,1,deer,1,1,jack rabbit,1,1,i don't know,1,1,i don't know,1,1,wtf,1,1,lizard,1,1,i don't know,1,1,i don't know,1,1,don't know,1,1,fish,I did not see any statistics,1,33.630996704102,-112.09390258789,-1,
