V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,random,"Welcome, and thank you for participating!   For this study, you will be shown 10 pictures of anim...",What is your gender?,What is your age?,Do you hold a Bachelors or higher college degree?,77259789 54a97508 2c60 4295 8283 70a11748c541, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",8 weird and wonderful animals youd think were fictional 6 640x411, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Bilby, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Borneoindo experience wildlife 3, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 1383 1427218286 26, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 20524 1427229682 12, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Haggis+are+animals+but+are+very+rare+in+scotland+and+ 441b7ca65f411893fc6f8790270b6aea, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Hqdefault, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Int wild dog, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Js54081153, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Were the statistics that you were shown during this study helpful in identifying the various anim...,Thank you for participating!   The experiment you just participated in is not actually about iden...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_31SOI4YikrESXdr,Default Response Set,Anonymous,,,96.251.33.113,0,2015-07-28 23:27:29,2015-07-28 23:29:37,1,8175a2933c24de11a84290178a70e7b8,1,2,34,1,1,,I don't know,1,,I don't know,1,,I don't know,1,,proboscis monkey,1,,mudpuppy,1,,axolotl,1,,I don't know,1,,I don't know,1,,I don't know,1,,tapir,3,1,34.577606201172,-117.15919494629,-1,
R_1MKW3Oe4Ol5hggV,Default Response Set,Anonymous,,,72.204.143.16,0,2015-07-28 23:25:09,2015-07-28 23:30:20,1,ec9f49029f9f37192f2cffca02489493,1,1,25,2,1,,I don't know,1,,antelope,1,,I don't know,1,,probocis monkey,1,,I don't know,1,,I don't know,1,,wild haggis,1,,I don't know,1,,I don't know,1,,tapir,3,1,29.848495483398,-90.063301086426,-1,
R_1BPHDMJ0ZNzbtIu,Default Response Set,Anonymous,,,182.65.217.191,0,2015-07-28 23:28:11,2015-07-28 23:31:26,1,3d369102f9b7b3205e98438aa98b55fe,1,2,35,1,1,,I don't know,1,,I don't know,1,,I don't know,1,,Probosis Monkey,1,,I don't know,1,,I don't know,1,,I don't know,1,,I don't know,1,,African wild dog,1,,Tapir,3,1,13.083297729492,80.283294677734,-1,
R_2Tzxt4JotBNzN2o,Default Response Set,Anonymous,,,98.216.86.25,0,2015-07-28 23:25:50,2015-07-28 23:32:42,1,a9a79492be85fab3703855a0f0cc1022,1,1,45,1,1,,I don't know,1,,gazelle,1,,I don't know,1,,monkey,1,,I don't know,1,,I don't know,1,,I don't know,1,,bear,1,,african dog,1,,Tapir,3,1,42.25959777832,-71.47029876709,-1,
R_2tzhbDZpVFrLHiN,Default Response Set,Anonymous,,,115.252.222.169,0,2015-07-28 23:24:41,2015-07-28 23:33:08,1,0cd7cfc189933e1808e8c4c67c918ff5,1,1,43,1,1,,Deer,1,,Antelope,1,,mouse,1,,monkey,1,,I don't know.,1,,Lizard,1,,Haggis,1,,I don't know.,1,,I don't know,1,,I don't know,3,1,26.850006103516,80.916687011719,-1,
R_3n7SltgivZPqWk3,Default Response Set,Anonymous,,,163.47.14.138,0,2015-07-28 23:24:24,2015-07-28 23:36:42,1,3d41399f951a6d812bd9f544e7274615,1,2,27,1,1,,deer,1,,deer,1,,I don't know,1,,monkey,1,,I don't know,1,,I don't know,1,,I don't know,1,,I don't know,1,,wild dog,1,,I don't know,3,1,13.083297729492,80.283294677734,-1,
R_3MsNvohj5dFegpV,Default Response Set,Anonymous,,,63.149.18.28,0,2015-07-28 23:38:14,2015-07-28 23:41:31,1,0628f0dabc8e1f102bf5d65af2fabd95,1,2,33,1,1,,Ibix,1,,I don't know.,1,,I don't know.,1,,Bonobo,1,,I don't know.,1,,I don't know.,1,,I don't know.,1,,I don't know.,1,,Hyena,1,,Pelgram,3,1,36.635498046875,-88.282997131348,-1,
R_1l6tFYrA2GdYzlm,Default Response Set,Anonymous,,,108.4.182.195,0,2015-07-28 23:44:27,2015-07-28 23:48:25,1,d6ef6d4340402f65c8a32377a6e187e9,1,1,36,2,1,,llama,1,,I don't know.,1,,possum,1,,baboon,1,,I don't know.,1,,squid,1,,I don't know.,1,,anteater ,1,,I don't know.,1,,zebra,3,1,37.363693237305,-79.954902648926,-1,
R_24MigPXvHYg5ZQv,Default Response Set,Anonymous,,,54.174.77.195,0,2015-07-28 23:50:53,2015-07-28 23:55:12,1,99f18ece1e097843dea39e5f97474f3b,1,1,33,1,1,,I don't know.,1,,I don't know.,1,,I don't know.,1,,I don't know.,1,,I don't know.,1,,I don't know.,1,,I don't know.,1,,I don't know.,1,,hyena,1,,tapir,3,1,39.043701171875,-77.487503051758,-1,
