ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,random,group,"Welcome, and thank you for participating!   For this study, you will be shown 10 pictures of anim...",What is your gender?,What is your age?,Do you hold a Bachelors or higher college degree?,77259789 54a97508 2c60 4295 8283 70a11748c541,Previous Responses Deer (61%) Alpaca (30%) Zebra (5%) Other (4%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",M,Previous Responses Mouse (55%) Rabbit (29%) Rat (13%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Bilby,Previous Responses Possum (58%) Rat (37%) Rabbit (3%) Other (2%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Wombatbat,Previous Responses Wolverine (61%) Porcupine (26%) Badger (10%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 1383 1427218286 26,Previous Responses Otter (56%) Manatee (28%) Fish (12%) Other (4%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 20524 1427229682 12,Previous Responses Lizard (62%) Tadpole (24%) Fish (12%) Other (2%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Haggis+are+animals+but+are+very+rare+in+scotland+and+ 441b7ca65f411893fc6f8790270b6aea,Previous Responses Badger (58%) Beaver (20%) Aardvark (19%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Hqdefault,Previous Responses Sloth (57%) Elephant (16%) Baboon (14%) Other (13%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",F5b2016710e6d75886d8fe92bf6c3b23,Previous Responses Eel (59%) Whale (22%) Fish (17%) Other (2%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",3344064508 6dfe6e195c b,Previous Responses Fish (57%) Coral (22%) Crab (18%) Other (3%),"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Were the statistics that you were shown during this study helpful in identifying the various anim...,Thank you for participating!   The experiment you just participated in is not actually about iden...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1dhJ13yThG5WS7j,Default Response Set,Anonymous,,,76.172.0.20,0,2015-07-29 23:41:49,2015-07-29 23:44:37,1,299fd761e953460432e7ed2b6322247d,moderate,1,Male,30,Yes,1,1,I don't know,1,1,Gerboa,1,1,I don't know,1,1,I don't know,1,1,Axolotl,1,1,Axolotl,1,1,Rat,1,1,I don't know,1,1,Shark,1,1,Blue Dragon,"No, they were not helpful",1,21.326705932617,-157.81669616699,-1,
R_12svZVFSaYeqFcX,Default Response Set,Anonymous,,,66.31.200.171,0,2015-07-29 23:40:44,2015-07-29 23:44:39,1,f969f77aef408beb86efd2bb4ae7a57f,moderate,1,Female,31,Yes,1,1,I don't know,1,1,Kangaroo rat,1,1,Shrew,1,1,Wolverine,1,1,Salamander,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,I don't know,"No, they were not helpful",1,42.364593505859,-71.102798461914,-1,
R_10C173UeqWL7m2R,Default Response Set,Anonymous,,,174.50.224.90,0,2015-07-29 23:47:53,2015-07-29 23:49:57,1,fcae3de3e1b0d89a7c7d59350271e6e4,moderate,1,Female,26,Yes,1,1,I don't know,1,1,I don't know,1,1,possum,1,1,I don't know,1,1,I don't know,1,1,tadpole,1,1,I don't know,1,1,I don't know,1,1,phantom shark or eel,1,1,I don't Know,"No, they were not helpful",1,35.918197631836,-84.003402709961,-1,
R_Dc4Tylb5W2NAPnP,Default Response Set,Anonymous,,,163.47.14.206,0,2015-07-29 23:42:48,2015-07-30 00:13:24,1,064bfaf11134f496ae359541e8d51c88,moderate,1,Male,27,Yes,1,1,Deer ,1,1,Mouse,1,1,Rat,1,1,I don't know,1,1,Otter,1,1,Lizard,1,1,I don't know,1,1,I don't know,1,1,Whale,1,1,I don't know,"Yes, they were helpful",1,13.083297729492,80.283294677734,-1,
R_OCm6aniEmJ917UJ,Default Response Set,Anonymous,,,71.59.191.94,0,2015-07-30 00:30:26,2015-07-30 00:33:25,1,ea69488f6bcb055bed36acc35e3858c5,moderate,1,Male,36,No,1,1,Alpaca,1,1,Rabbit,1,1,Possum,1,1,Badger,1,1,Salamander,1,1,Tadpole,1,1,I don't know,1,1,Bear,1,1,Shark,1,1,Fish ,"Yes, they were helpful",1,46.193298339844,-123.05479431152,-1,
R_1P5Z5Sd2YN5Cs9w,Default Response Set,Anonymous,,,96.35.41.19,0,2015-07-30 00:51:38,2015-07-30 00:54:12,1,812dbd77a09e8c0bba5767c144551057,moderate,1,Male,28,No,1,1,Alpaca,1,1,I don't know,1,1,Possum,1,1,I don't know,1,1,Manatee,1,1,I don't know,1,1,I don't know,1,1,Sloth,1,1,Eel,1,1,I don't know,"Yes, they were helpful",1,38.649993896484,-90.533401489258,-1,
R_9S3I5PQnBi1G3sJ,Default Response Set,Anonymous,,,162.192.135.45,0,2015-07-29 23:43:21,2015-07-29 23:45:40,1,2f07873b63a36832d068e7b781494f9a,control,1,Female,33,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,41.565093994141,-81.564598083496,-1,
R_r8Ur2nvpGcBjDih,Default Response Set,Anonymous,,,107.46.93.102,0,2015-07-29 23:42:26,2015-07-29 23:47:13,1,f0a3bf6e612ab2e792284b0a5832774b,control,1,Female,28,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,38,-97,-1,
R_3MKASm9ro9OIFYf,Default Response Set,Anonymous,,,24.24.229.77,0,2015-07-29 23:49:26,2015-07-29 23:52:33,1,23d15801d20f01128acfeb4d311ba68a,control,1,Female,36,Yes,1,1,I don't know.,1,1,rabbit,1,1,aardvark,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,34.135894775391,-117.15530395508,-1,
R_5dyoUZDidxD71oF,Default Response Set,Anonymous,,,66.19.70.75,0,2015-07-30 00:01:50,2015-07-30 00:09:11,1,a7793982ff6c78a18ee5e9f559a43814,control,1,Male,53,Yes,1,1,quagga,1,1,kangaroo gerbil,1,1,bandicoot,1,1,wombat,1,1,lungfish,1,1,salamander,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,35.528900146484,-87.537498474121,-1,
R_bKoOfYOskQd2zLj,Default Response Set,Anonymous,,,23.27.44.86,0,2015-07-30 00:29:57,2015-07-30 00:31:33,1,96301816636be64e6a7a91980d9a3848,control,1,Male,25,No,1,1,emu,1,1,I don't know,1,1,chinchilla ,1,1,I don't know,1,1,I don't know,1,1,lizard,1,1,I don't know,1,1,bear,1,1,eel,1,1,I don't know,I did not see any statistics,1,37.372100830078,-121.86430358887,-1,
R_sSF6qdBgoBRuSYx,Default Response Set,Anonymous,,,96.246.250.112,0,2015-07-30 00:28:30,2015-07-30 00:32:35,1,6d837630c92574cddd3791040febbeee,control,1,Female,43,Yes,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,40.751693725586,-73.883201599121,-1,
